Timestamp,close,high,low,open,volume
1433424650,43.0300,43.0500,43.0300,43.0400,176400
1433424718,42.9700,43.0598,42.9700,43.0300,53000
1433424720,43.0000,43.0400,42.9600,42.9900,49600
1433424836,42.9900,43.0500,42.9700,43.0000,50100
1433424899,42.9600,42.9900,42.9300,42.9800,68200
1433424959,43.0600,43.0900,42.9400,42.9600,84100
1433425015,43.1100,43.1300,43.0500,43.0500,26400
1433425078,43.1400,43.1400,43.0500,43.1200,26000
1433425080,43.1798,43.1900,43.1300,43.1400,19500
1433425140,43.2000,43.2100,43.1700,43.1700,20000
1433425259,43.2700,43.3100,43.2100,43.2100,48100
1433425319,43.2700,43.2800,43.2400,43.2800,39400
1433425378,43.2300,43.2700,43.2200,43.2700,41200
1433425431,43.2200,43.2400,43.2000,43.2300,25800
1433425447,43.3500,43.3600,43.2600,43.2700,53100
1433425558,43.3100,43.3500,43.3000,43.3500,32600
1433425610,43.3400,43.3500,43.2999,43.3000,27800
1433425674,43.2700,43.3400,43.2672,43.3300,17300
1433425738,43.2500,43.3000,43.2477,43.2800,38300
1433425795,43.1400,43.2400,43.1400,43.2400,23800
1433425858,43.1232,43.1800,43.1200,43.1800,25900
1433425918,43.1625,43.1700,43.1200,43.1200,7900
1433425979,43.2400,43.2400,43.1700,43.1700,15400
1433426034,43.2500,43.2600,43.2400,43.2500,19700
1433426043,43.2454,43.2659,43.2200,43.2400,25000
1433426218,43.2900,43.3100,43.2700,43.3000,9400
1433426278,43.3310,43.3310,43.2600,43.2840,17100
1433426339,43.3500,43.3800,43.3400,43.3400,37700
1433426340,43.3600,43.3700,43.3400,43.3400,15200
1433426458,43.4399,43.4400,43.3500,43.3700,37200
1433426516,43.3900,43.4400,43.3800,43.4400,17000
1433426576,43.3900,43.4000,43.3800,43.3800,21000
1433426632,43.3400,43.3700,43.3400,43.3700,8300
1433426699,43.3400,43.3600,43.3400,43.3500,18900
1433426706,43.3100,43.3400,43.3000,43.3400,13400
1433426763,43.2900,43.3100,43.2900,43.3000,5700
1433426821,43.2900,43.3000,43.2900,43.2900,12600
1433426886,43.2800,43.3000,43.2800,43.2900,24500
1433426999,43.3000,43.3000,43.2700,43.2770,34700
1433427055,43.2850,43.2900,43.2810,43.2850,4000
1433427062,43.3100,43.3200,43.2800,43.2800,24500
1433427177,43.3100,43.3200,43.3100,43.3100,16200
1433427234,43.3300,43.3500,43.3200,43.3300,17300
1433427241,43.2800,43.3200,43.2800,43.3200,5700
1433427355,43.2700,43.2800,43.2300,43.2800,19400
1433427367,43.2800,43.2850,43.2700,43.2750,12700
1433427468,43.2700,43.2900,43.2700,43.2850,9200
1433427511,43.2800,43.2800,43.2650,43.2700,1800
1433427593,43.2800,43.2800,43.2700,43.2750,1500
1433427642,43.3000,43.3000,43.2800,43.2800,13200
1433427662,43.2730,43.3000,43.2700,43.3000,10900
1433427726,43.2800,43.2800,43.2700,43.2700,5300
1433427795,43.2800,43.3000,43.2800,43.2900,17500
1433427894,43.2800,43.2810,43.2800,43.2800,7000
1433427958,43.2650,43.2868,43.2650,43.2800,16600
1433428018,43.2600,43.2600,43.2200,43.2300,14800
1433428071,43.2551,43.2551,43.2500,43.2500,200
1433428081,43.2700,43.2700,43.2500,43.2500,2600
1433428172,43.2700,43.2800,43.2400,43.2800,5000
1433428259,43.1600,43.2700,43.1550,43.2700,31200
1433428264,43.1500,43.1600,43.1200,43.1600,14300
1433428375,43.1100,43.1500,43.0800,43.1500,10300
1433428434,43.1300,43.1300,43.1100,43.1100,8300
1433428499,43.1300,43.1550,43.1200,43.1200,20000
1433428559,43.1300,43.1400,43.1200,43.1200,21300
1433428619,43.1200,43.1400,43.0900,43.1300,28100
1433428676,43.1300,43.1344,43.1000,43.1100,24800
1433428695,43.1467,43.1500,43.1200,43.1400,52300
1433428761,43.1300,43.1401,43.1000,43.1401,19700
1433428806,43.1250,43.1400,43.1200,43.1300,11000
1433428892,43.1200,43.1400,43.1200,43.1300,13300
1433428931,43.1200,43.1360,43.1200,43.1300,11300
1433428999,43.1400,43.1400,43.1300,43.1300,3500
1433429098,43.1500,43.1500,43.1300,43.1300,22900
1433429157,43.1700,43.1700,43.1400,43.1400,24400
1433429218,43.1500,43.1710,43.1500,43.1700,7800
1433429276,43.1223,43.1535,43.1200,43.1535,5800
1433429330,43.1400,43.1400,43.1100,43.1200,8100
1433429398,43.2000,43.2000,43.1400,43.1400,10400
1433429457,43.1990,43.2000,43.1800,43.1800,26800
1433429514,43.1901,43.2000,43.1900,43.2000,45600
1433429574,43.1926,43.2000,43.1700,43.1900,6900
1433429623,43.1900,43.1950,43.1900,43.1900,5300
1433429695,43.1900,43.1900,43.1800,43.1900,3900
1433429758,43.1750,43.1900,43.1700,43.1900,8600
1433429818,43.1700,43.1900,43.1600,43.1700,14300
1433429879,43.1600,43.1650,43.1600,43.1600,2600
1433429880,43.1700,43.1700,43.1500,43.1600,4300
1433429941,43.1400,43.1701,43.1400,43.1701,13900
1433430050,43.1100,43.1400,43.1100,43.1300,16900
1433430114,43.0800,43.1100,43.0800,43.1100,8500
1433430120,43.1200,43.1200,43.0800,43.0825,9000
1433430233,43.0900,43.1100,43.0700,43.1100,7300
1433430275,43.0900,43.1000,43.0800,43.0800,5200
1433430350,43.0600,43.0800,43.0500,43.0800,38800
1433430417,43.1000,43.1000,43.0500,43.0599,15800
1433430422,43.1000,43.1000,43.0900,43.1000,5800
1433430539,43.1253,43.1253,43.0900,43.1000,18000
1433430598,43.1021,43.1200,43.1000,43.1200,9900
1433430600,43.1000,43.1000,43.0700,43.1000,11000
1433430718,43.1200,43.1300,43.1000,43.1000,7400
1433430779,43.1700,43.1700,43.1200,43.1200,4600
1433430781,43.1600,43.1650,43.1500,43.1500,10800
1433430841,43.1900,43.2000,43.1700,43.1700,9900
1433430947,43.1861,43.1950,43.1800,43.1900,3700
1433431018,43.2699,43.2800,43.1850,43.1850,50800
1433431021,43.2900,43.3000,43.2500,43.2620,28900
1433431137,43.2900,43.3100,43.2725,43.2900,18900
1433431199,43.2630,43.2800,43.2600,43.2700,20200
1433431211,43.2600,43.2800,43.2500,43.2700,12600
1433431270,43.2550,43.2700,43.2400,43.2600,11000
1433431321,43.2700,43.2700,43.2500,43.2500,1800
1433431382,43.2900,43.2900,43.2800,43.2800,600
1433431492,43.2632,43.2850,43.2600,43.2850,7000
1433431559,43.2600,43.2800,43.2600,43.2700,19700
1433431562,43.2400,43.2800,43.2400,43.2649,8500
1433431630,43.2400,43.2550,43.2300,43.2500,8200
1433431737,43.2400,43.2600,43.2300,43.2500,14200
1433431798,43.2075,43.2400,43.2000,43.2400,12400
1433431859,43.2100,43.2100,43.2000,43.2100,11500
1433431860,43.2150,43.2200,43.2000,43.2050,18200
1433431977,43.1800,43.2200,43.1800,43.2100,16100
1433432039,43.1900,43.1900,43.1800,43.1800,6300
1433432099,43.1800,43.1900,43.1700,43.1800,3100
1433432108,43.1700,43.1900,43.1700,43.1790,6100
1433432218,43.2000,43.2100,43.1600,43.1700,20000
1433432277,43.1800,43.2100,43.1800,43.2000,3100
1433432335,43.2099,43.2100,43.1900,43.1900,10400
1433432358,43.2000,43.2100,43.2000,43.2000,9200
1433432451,43.2200,43.2300,43.2050,43.2100,15500
1433432461,43.2100,43.2400,43.2100,43.2200,22100
1433432575,43.2100,43.2200,43.2000,43.2200,62000
1433432612,43.2062,43.2200,43.2062,43.2200,26600
1433432642,43.1700,43.2050,43.1600,43.2000,27900
1433432700,43.1500,43.1600,43.1400,43.1600,16400
1433432805,43.1600,43.1600,43.1425,43.1600,7800
1433432878,43.1700,43.1800,43.1600,43.1600,11700
1433432935,43.1500,43.1672,43.1400,43.1600,9300
1433432999,43.1451,43.1700,43.1350,43.1400,9400
1433433054,43.1700,43.1700,43.1400,43.1400,6700
1433433065,43.1700,43.1700,43.1600,43.1700,12600
1433433179,43.1200,43.1600,43.1150,43.1600,12700
1433433181,43.1300,43.1300,43.1100,43.1200,5000
1433433294,43.1390,43.1390,43.1200,43.1255,10100
1433433357,43.1000,43.1428,43.0900,43.1357,23700
1433433418,43.0900,43.1100,43.0850,43.1000,5500
1433433477,43.1100,43.1100,43.0800,43.1000,35400
1433433539,43.0800,43.1100,43.0750,43.1100,7400
